Time,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,perfect,perfect,perfect,perfect
10,0,0,0,0,0,0.00020817,0.000268067,0.0002024,0.00021369,0.000239974,7.22E-07,7.30E-07,9.18E-07,8.55E-07,6.64E-07,0.7453786,0.902131766,0.925103641,0.771391283,1.005158622,0.012548372,0.010224981,0.010559703,0.009564279,0.0104214,0,0,0,0,0,0,0,0,0,0,7.46E-07,1.47E-14,1.64E-07,9.03E-09
11,0,0,0,0,0,0.000235599,0.000258663,0.000256493,0.000224371,0.000217968,1.01E-06,1.09E-06,9.10E-07,9.47E-07,8.71E-07,3.252246194,3.954665283,4.288448231,4.356892999,3.694425133,0.016400746,0.015592928,0.016892724,0.017166273,0.01589818,0,0,0,0,0,0,0,0,0,0,1.01E-06,2.59E-14,1.64E-07,1.32E-08
12,0,0,0,0,0,0.000195525,0.000265028,0.000286396,0.000277283,0.000244357,1.33E-06,1.01E-06,1.43E-06,1.39E-06,1.50E-06,6.215437442,7.851891195,5.615929753,7.27385043,6.023783217,0.03143304,0.023517023,0.021248736,0.025828559,0.025355832,0,0,0,0,0,0,0,0,0,0,1.35E-06,4.58E-14,1.64E-07,1.93E-08
13,0,0,0,0,0,0.000366542,0.000351484,0.00033259,0.000310314,0.000335929,1.78E-06,1.74E-06,1.88E-06,1.84E-06,1.63E-06,7.595744537,7.82702314,6.637363898,7.684142195,6.981830836,0.034059247,0.042596624,0.039249184,0.048010504,0.033681401,0,0,0,0,0,0,0,0,0,0,1.83E-06,8.09E-14,1.64E-07,2.82E-08
14,0,0,0,0,0,0.000314261,0.000341858,0.000424164,0.000379065,0.000338664,2.32E-06,2.47E-06,2.67E-06,2.30E-06,2.43E-06,7.309368729,7.457921226,7.856925407,8.255675845,8.415159469,0.062186872,0.062094127,0.068188769,0.073381474,0.064405905,0,0,0,0,0,0,0,0,0,0,2.46E-06,1.43E-13,1.64E-07,4.12E-08
15,0,0,0,0,0,0.000402006,0.000448827,0.000399522,0.00041851,0.000479435,3.30E-06,3.38E-06,3.11E-06,3.64E-06,3.32E-06,7.680545782,7.067841883,8.486161223,7.72049176,6.470919963,0.083258004,0.089772667,0.102358634,0.111303475,0.103923473,0,0,0,0,0,0,0,0,0,0,3.32E-06,2.52E-13,1.64E-07,6.02E-08
16,0,0,0,0,0,0.000504415,0.000437783,0.000499351,0.000547242,0.000458211,4.09E-06,4.47E-06,3.59E-06,4.58E-06,5.34E-06,5.704672817,7.514593097,8.499659267,7.274396673,8.05554978,0.1400005,0.17078505,0.143568236,0.14238054,0.155394324,0,0,0,0,0,0,0,0,0,0,4.47E-06,4.46E-13,1.64E-07,8.79E-08
17,0,0,0,0,0,0.000580788,0.000507635,0.000609975,0.000570171,0.000537397,6.03E-06,6.25E-06,5.69E-06,6.60E-06,6.65E-06,8.025598563,7.589466116,6.420157127,7.382449567,7.745034006,0.202872338,0.204924816,0.257904489,0.278744945,0.244595295,0,0,0,0,0,1.10E-16,8.50E-17,9.65E-17,1.06E-16,1.07E-16,6.03E-06,7.87E-13,1.64E-07,1.28E-07
18,0,0,0,0,0,0.000580661,0.000554332,0.000652785,0.000772521,0.000635578,7.79E-06,6.70E-06,9.08E-06,8.33E-06,9.37E-06,7.886836245,8.443628451,7.339369545,6.550307197,7.59438102,0.336573241,0.321011941,0.328362298,0.327874846,0.380198803,0,0,0,0,0,4.95E-16,5.14E-16,4.39E-16,4.52E-16,5.07E-16,8.13E-06,1.39E-12,1.64E-07,1.88E-07
19,0,0,0,0,0,0.000742536,0.000745233,0.000715979,0.000755552,0.000714274,1.01E-05,1.38E-05,1.04E-05,1.00E-05,8.47E-06,7.612451926,8.024998055,8.324569275,7.44289923,7.740947811,0.515734058,0.536694546,0.511784644,0.554951317,0.559079223,0,0,0,0,0,3.32E-15,3.46E-15,2.60E-15,3.48E-15,3.31E-15,1.10E-05,2.46E-12,1.64E-07,2.74E-07
20,0,0,0,0,0,0.000814838,0.000911139,0.000806387,0.000759616,0.001007307,1.36E-05,1.52E-05,1.41E-05,1.40E-05,1.63E-05,8.303746933,8.486797366,6.778400104,8.005014615,8.72648393,0.725189832,0.81227931,0.599588622,0.826698765,0.722469124,0,0,0,0,0,1.43E-14,1.90E-14,1.97E-14,1.62E-14,1.95E-14,1.48E-05,4.34E-12,2.62E-07,4.01E-07
21,0,0,0,0,0,0.000919765,0.000909649,0.00098223,0.000910421,0.001060339,2.10E-05,2.42E-05,1.96E-05,1.88E-05,1.75E-05,9.311960714,7.575655678,7.403341394,8.716106276,7.986640594,1.14027189,0.928201769,1.083716434,1.141630096,1.15640029,1.08E-16,1.28E-16,7.53E-17,1.24E-16,7.88E-17,9.26E-14,1.12E-13,1.02E-13,8.64E-14,9.80E-14,1.99E-05,7.66E-12,4.19E-07,5.86E-07
22,0,0,0,0,0,0.001247373,0.001009549,0.000957672,0.001245504,0.00114377,2.45E-05,2.74E-05,2.26E-05,2.60E-05,2.76E-05,7.932601045,6.797980896,7.863407773,6.099693889,7.062507969,1.418253225,1.268898733,1.211411366,1.390222043,1.19165195,9.30E-17,1.03E-16,9.35E-17,8.88E-17,7.67E-17,6.26E-13,4.47E-13,5.13E-13,5.42E-13,6.72E-13,2.68E-05,1.35E-11,6.70E-07,8.56E-07
23,0,0,0,0,0,0.001425036,0.001191729,0.001342684,0.001190382,0.001053612,2.90E-05,3.93E-05,4.00E-05,3.88E-05,4.29E-05,7.290924926,7.3217475,7.972971437,7.404606979,8.850942057,1.664446163,1.570549395,1.436116009,1.589428674,1.511301557,1.79E-16,2.33E-16,1.99E-16,1.76E-16,1.82E-16,2.50E-12,2.64E-12,2.97E-12,2.36E-12,3.07E-12,3.62E-05,2.39E-11,1.07E-06,1.25E-06
24,0,0,0,0,0,0.00157894,0.001365005,0.001562856,0.001626437,0.001599595,4.78E-05,6.00E-05,4.64E-05,5.10E-05,5.78E-05,8.694094815,6.9790326,8.192557119,6.987508418,7.272054926,2.022985889,1.849149764,1.735108219,1.85417473,2.023609101,3.09E-16,3.65E-16,3.89E-16,4.49E-16,3.69E-16,1.78E-11,1.61E-11,1.83E-11,2.00E-11,1.77E-11,4.88E-05,4.22E-11,1.71E-06,1.83E-06
25,0,0,0,0,0,0.001788434,0.001831673,0.001656355,0.001783398,0.001999322,6.41E-05,5.80E-05,5.97E-05,6.65E-05,5.35E-05,6.76568258,7.634051367,7.497601936,7.561755538,5.90531019,2.378978875,1.678172795,2.250840328,2.03148536,2.519662825,8.07E-16,9.01E-16,7.88E-16,7.62E-16,7.90E-16,9.39E-11,1.05E-10,1.04E-10,1.11E-10,8.67E-11,6.57E-05,7.46E-11,2.73E-06,2.67E-06
26,0,0,0,0,0,0.001761476,0.00169203,0.002032508,0.001778379,0.001966365,9.18E-05,9.14E-05,8.08E-05,9.99E-05,6.85E-05,8.305542287,7.550303432,8.640532606,7.231481828,9.119007882,2.238215394,2.096901958,2.936371022,2.444592412,2.487158712,1.68E-15,1.66E-15,1.34E-15,1.28E-15,1.24E-15,5.18E-10,5.00E-10,4.86E-10,5.28E-10,4.96E-10,8.86E-05,1.32E-10,4.36E-06,3.90E-06
27,0,0,0,0,0,0.001848617,0.001862018,0.002386118,0.002412501,0.002021588,0.000123523,0.000122291,0.000118317,0.000120476,0.000123691,7.247672949,7.138818395,7.317133821,8.468418112,6.813892045,1.926169501,2.814063025,2.494568452,2.429933558,2.561408532,2.61E-15,1.79E-15,2.50E-15,2.50E-15,2.26E-15,3.25E-09,3.41E-09,2.86E-09,2.91E-09,2.88E-09,0.000119399,2.33E-10,6.97E-06,5.70E-06
28,0,0,0,0,0,0.002625239,0.002874706,0.002750005,0.002100569,0.002051604,0.000156816,0.000139002,0.00017854,0.000172324,0.000170544,6.823407821,7.996960614,8.520764803,7.492184911,7.848562022,2.157432386,2.420027861,2.45988308,2.69021141,2.541516728,4.79E-15,4.02E-15,4.05E-15,4.36E-15,4.71E-15,1.65E-08,1.74E-08,1.69E-08,1.64E-08,1.89E-08,0.000160943,4.11E-10,1.11E-05,8.33E-06
29,0,0,0,0,0,0.002993822,0.002668297,0.002832012,0.002568085,0.002738107,0.00020492,0.000180352,0.000255154,0.000233079,0.000214964,8.820679099,8.588593926,8.416837876,9.067674118,7.555041559,2.401652326,2.877734134,2.39091228,2.69508831,2.237285915,6.97E-15,6.07E-15,7.10E-15,6.48E-15,5.67E-15,0.002219146,0.002222646,0.002123891,0.002036751,0.002011313,0.000216942,7.26E-10,1.78E-05,1.22E-05
30,0,0,0,0,0,0.003818763,0.003375926,0.00333937,0.003225426,0.003203999,0.000280868,0.000307953,0.00029324,0.000319273,0.000253153,7.402399781,8.273271846,7.372613225,6.379795034,7.354390548,2.188738874,2.178218361,2.831653462,2.539059236,2.669774252,1.51E-14,1.33E-14,1.13E-14,1.39E-14,1.01E-14,1.151784475,1.118420806,1.175664147,1.075907242,1.208727602,0.000292424,1.28E-09,2.84E-05,1.78E-05
31,0,0,0,0,0,0.004385392,0.00373436,0.003528515,0.003943941,0.003738906,0.000370854,0.000394827,0.000423114,0.00035517,0.00038029,7.076623173,7.671464028,7.341278343,7.434981233,7.927699839,2.498870431,2.668949254,3.31586393,2.651355826,2.720277842,1.89E-14,2.23E-14,1.78E-14,2.06E-14,2.24E-14,6.024168487,6.751065168,6.000950653,5.940481998,4.914645468,0.000394169,2.27E-09,4.54E-05,2.60E-05
32,0,0,0,0,0,0.003680548,0.004752886,0.004569207,0.003425544,0.0036696,0.000618548,0.000658464,0.000590449,0.000424882,0.000504603,6.744690784,8.11526072,6.385657662,6.993780835,8.424099838,2.821685141,2.458463593,2.389782516,2.834067575,2.734686806,3.22E-14,3.32E-14,3.72E-14,3.62E-14,3.95E-14,7.157399326,8.120165029,9.188747905,8.746587295,8.55392879,0.000531312,4.00E-09,7.25E-05,3.80E-05
33,0,0,0,0,0,0.004852135,0.004695202,0.004930472,0.00541942,0.00517169,0.000642158,0.000765266,0.000595805,0.000716518,0.000723662,8.319020915,8.182808768,7.384598139,7.881879091,7.141169035,2.720718207,2.991570759,2.450863072,2.546939433,2.418009972,6.24E-14,5.94E-14,5.70E-14,6.01E-14,6.20E-14,7.864226261,7.712838449,7.645028463,9.779040761,9.320255808,0.000716168,7.07E-09,0.000115828,5.55E-05
34,0,0,0,0,0,0.005672616,0.00531443,0.005853925,0.004982359,0.006331755,0.000923098,0.000900138,0.001028631,0.000899232,0.00088897,7.109606757,8.17198428,6.598790165,8.535389976,7.351581234,2.5104655,2.263656312,2.43751301,2.822477383,2.775307205,9.24E-14,1.06E-13,1.13E-13,1.09E-13,9.90E-14,8.358950907,8.782021572,10.336981,9.120049768,9.674771382,0.000965332,1.25E-08,0.000185038,8.11E-05
35,0,0,0,0,0,0.006885244,0.007352653,0.006327836,0.005577508,0.007723906,0.001395758,0.001307252,0.001320666,0.001223991,0.001490072,7.93662233,6.803812242,8.701709985,8.922410363,6.667620024,2.556790497,2.584181785,2.720967109,2.58477276,2.962758967,1.57E-13,1.78E-13,1.88E-13,1.90E-13,1.65E-13,8.277246192,8.850422458,8.707091081,7.849746211,8.804931923,0.001301171,2.21E-08,0.000295602,0.00011857
36,0,0,0,0,0,0.007731235,0.006778933,0.007880558,0.007936286,0.007903544,0.001830391,0.001369841,0.001829246,0.001505555,0.001648277,6.877286988,6.059306384,8.361941779,8.28253706,6.80024806,2.610829889,2.834840778,2.508522851,2.962935683,2.406628958,2.92E-13,3.43E-13,2.82E-13,2.49E-13,3.09E-13,8.150252695,8.825103695,9.016028956,8.758565723,8.494290903,0.001753826,3.90E-08,0.000472226,0.000173261
37,0,0,0,0,0,0.008214891,0.010134965,0.007287269,0.008427863,0.009610049,0.002169506,0.002369146,0.0025998,0.00227413,0.002234129,7.552584938,7.502731389,7.361540506,6.879341309,7.563258711,2.676779855,2.925341728,2.97200605,2.593045258,2.690376579,5.50E-13,5.64E-13,5.51E-13,4.78E-13,5.40E-13,8.815256751,8.81709043,6.902348236,10.16917445,9.065769625,0.002363911,6.88E-08,0.000754376,0.000253178
38,0,0,0,0,0,0.010585674,0.009670608,0.008827416,0.008628412,0.010533757,0.003766675,0.002944709,0.003013237,0.00321285,0.004023284,8.384132472,8.276235168,7.379751236,6.172712744,8.593455998,2.466728677,2.374705257,2.456532951,2.765706531,2.557877779,7.28E-13,8.59E-13,7.28E-13,1.01E-12,8.99E-13,8.728347556,8.84117931,9.367205501,8.561397432,8.76711603,0.003186146,1.22E-07,0.001205085,0.000369955
39,0,0,0,0,0,0.011117515,0.010725947,0.011370666,0.011390832,0.009102332,0.004414104,0.003580062,0.003419978,0.004117621,0.004171569,7.250258065,8.116641478,5.91526448,7.370808591,8.096089866,2.750426836,2.240352361,2.060350661,2.819479079,2.823628635,1.42E-12,1.37E-12,1.43E-12,1.42E-12,1.61E-12,9.833430903,9.801195246,8.606354913,9.174559679,9.470218388,0.004294243,2.15E-07,0.00192502,0.000540592
40,0,0,0,0,0,0.01235026,0.011778559,0.013071925,0.012897187,0.012107716,0.007199606,0.006084872,0.005383796,0.005794063,0.005959724,7.396825664,7.151855333,7.086075269,7.268033418,6.769905958,2.694151324,2.836330228,2.899344801,2.987269563,2.804937169,2.55E-12,2.62E-12,2.48E-12,2.66E-12,2.54E-12,8.62399207,9.076327322,8.17064325,8.83340045,10.94449934,0.005787475,3.79E-07,0.00307491,0.000789925
41,0,0,0,0,0,0.014561153,0.014819537,0.016175396,0.015424072,0.016677265,0.007933083,0.007723903,0.006500629,0.006824077,0.007623692,6.28883063,6.48151532,7.263466404,8.117091201,7.245016996,2.485258021,2.737394003,2.737236381,2.881668881,2.887075389,4.29E-12,4.07E-12,4.32E-12,4.12E-12,4.77E-12,9.493385117,7.332227185,8.930769151,8.786358889,8.170946266,0.007799502,6.70E-07,0.004911312,0.00115424
42,0,0,0,0,0,0.016376016,0.01837705,0.016008065,0.018228206,0.017467525,0.009251365,0.010165225,0.010870379,0.010314072,0.010163251,7.827498611,7.630257977,6.302593424,7.767970732,8.356120601,3.042172397,2.849295239,2.229281115,2.37310966,3.027799642,7.27E-12,7.27E-12,8.44E-12,7.12E-12,7.11E-12,8.110276955,9.618179645,9.477916357,8.615144509,8.842039879,0.010510206,1.18E-06,0.007843525,0.001686541
43,0,0,0,0,0,0.021884687,0.019783985,0.017799255,0.020804944,0.019609155,0.013010286,0.012409661,0.015043337,0.01505167,0.014977128,6.499308366,9.400851195,9.032094384,8.085014432,7.792993725,2.692132107,3.150389804,2.837889116,3.023611052,2.825957242,1.28E-11,1.32E-11,1.30E-11,1.34E-11,1.31E-11,9.85068947,7.341107764,7.663072242,9.438809732,8.452050155,0.014161545,2.09E-06,0.012524,0.002464249
44,0,0,0,0,0,0.017374322,0.020712715,0.023631287,0.025556887,0.024510085,0.019734655,0.020161107,0.019414684,0.019534115,0.019055248,8.003157515,6.231297755,7.126663646,6.172433911,6.364712469,3.189549074,2.664180283,2.836385622,2.792701846,2.532436246,2.03E-11,2.12E-11,1.82E-11,2.19E-11,1.92E-11,8.857346243,8.556539302,9.351781299,8.319482418,8.243382874,0.019078731,3.69E-06,0.019991437,0.003600416
45,0,0,0,0,0,0.024733784,0.02795161,0.025234226,0.022473092,0.028394381,0.025736545,0.02425543,0.023952754,0.027573376,0.026463071,8.45995518,6.55908926,7.500517474,7.948650395,7.072752846,2.968014684,2.609653807,3.026676625,2.667068094,2.424428115,3.66E-11,3.74E-11,4.04E-11,3.89E-11,3.03E-11,9.631695368,9.209065084,9.420784786,8.259411425,10.51271408,0.025698443,6.52E-06,0.031896005,0.005260082
46,0,0,0,0,0,0.02998147,0.031866717,0.029992547,0.028691112,0.027692921,0.035622617,0.035320439,0.03058815,0.035569795,0.036295914,8.342067194,7.378204185,7.384834129,7.58739032,7.306263625,3.219803361,2.634976553,2.451987226,3.154736412,2.411045492,6.28E-11,5.60E-11,5.99E-11,5.68E-11,5.24E-11,8.561794575,9.671822814,10.39248173,8.692801106,7.7183447,0.034606236,1.15E-05,0.05085061,0.007684061
47,0,0,0,0,0,0.029781399,0.04163505,0.034127401,0.041890881,0.034471511,0.046997628,0.043206306,0.047640049,0.051931913,0.039684793,9.139741894,5.807552817,7.794851376,7.816620053,6.359994368,2.765683318,2.721126402,3.013044486,2.486147513,2.81966541,1.05E-10,1.19E-10,1.02E-10,9.62E-11,1.25E-10,10.68507116,8.960615568,11.08016824,8.782694155,8.270654404,0.046585879,2.03E-05,0.080970588,0.011223506
48,0,0,0,0,0,0.035902624,0.032293313,0.035896636,0.032911937,0.039504119,0.063214032,0.0704952,0.055933789,0.061899631,0.060850406,7.164026415,8.325948378,7.748171324,7.719193855,8.927245589,3.344411033,2.840110159,2.960520374,2.862554565,2.853281185,1.88E-10,1.42E-10,1.64E-10,1.65E-10,1.73E-10,9.512901081,7.461824845,8.518226698,9.175754575,10.37514133,0.062683864,3.59E-05,0.128682512,0.016389959
49,0,0,0,0,0,0.044169465,0.047438676,0.043707138,0.042436904,0.04098133,0.082917011,0.090346278,0.092785739,0.080766613,0.080829536,9.287113346,8.680973224,8.152660187,8.104509413,7.46083093,2.994441982,2.253184306,2.776253331,2.684857647,2.601821204,3.18E-10,3.40E-10,2.77E-10,3.32E-10,3.15E-10,8.67703374,8.750214079,9.500057983,10.28045254,9.385844429,0.084292835,6.35E-05,0.203885441,0.023927548
50,0,0,0,0,0,0.051420836,0.054505315,0.049321609,0.048031458,0.047458514,0.12346237,0.110610681,0.130655528,0.124475561,0.117240731,7.377237365,7.124898241,8.096647141,7.431250123,7.338487456,3.097500092,2.371224447,2.727755188,2.949712688,2.609979142,5.90E-10,3.76E-10,5.79E-10,5.46E-10,4.97E-10,9.950503275,9.143307492,8.330492922,9.380519856,10.46197116,0.113257771,0.000112127,0.32149318,0.034916471
51,0,0,0,0,0,0.060048464,0.058986558,0.050751251,0.061105664,0.054669966,0.159930418,0.15508794,0.164709617,0.125801027,0.12556746,7.261546657,7.401514123,7.253999597,7.266313906,7.009802775,2.421709086,2.211856214,2.496485774,2.582747555,2.507186465,8.41E-10,8.96E-10,9.67E-10,9.68E-10,7.44E-10,9.366601068,8.092198068,9.698853357,10.20553147,9.681633703,0.152008039,0.000198055,0.503179049,0.050919993
52,0,0,0,0,0,0.072204043,0.068952271,0.056738611,0.065679877,0.074420969,0.174138272,0.215336542,0.220016029,0.220974778,0.197622901,5.919034436,9.336678887,7.979383048,7.821070021,6.14483934,2.62905367,3.219439379,2.733680032,2.537970479,2.992497543,1.41E-09,1.36E-09,1.38E-09,1.61E-09,1.62E-09,9.650112015,8.009089366,8.924349146,9.573433166,10.18729292,0.203716104,0.000349829,0.778615431,0.074190337
53,0,0,0,0,0,0.069568452,0.069192623,0.079049908,0.078800466,0.064394448,0.291193533,0.224328961,0.288847364,0.272730992,0.282005964,6.596349713,7.522505506,8.653746637,7.993242969,9.159229036,3.277911518,2.835780108,3.063926798,2.95907628,3.241193528,2.54E-09,2.18E-09,2.25E-09,2.70E-09,2.71E-09,8.770177608,8.227005432,9.75127377,9.681290744,8.109335287,0.272478331,0.000617902,1.184471835,0.107951049
54,0,0,0,0,0,0.09333391,0.083852285,0.087973146,0.082324419,0.08488514,0.319223689,0.341537573,0.389003595,0.386209295,0.370190745,6.752972957,7.944439842,7.486554819,6.984384621,7.110351195,2.599286737,2.759975484,2.932633394,3.02067659,2.935891027,4.43E-09,5.09E-09,4.26E-09,4.40E-09,4.23E-09,8.194656979,8.044379002,9.181348409,9.382239948,9.542665449,0.363502914,0.001091368,1.758122381,0.156771475
55,0,0,0,0,0,0.106774498,0.101220509,0.10882921,0.096601229,0.10620556,0.517762525,0.477035751,0.442216131,0.478676661,0.531165036,7.368138971,7.203449946,8.60378045,9.179488412,7.678129662,2.58138069,2.561770464,3.308012732,2.696149866,2.974195027,8.00E-09,8.68E-09,7.02E-09,7.21E-09,8.89E-09,9.219683327,7.896047156,9.430198571,8.305402797,8.526110765,0.483271949,0.001927531,2.522992118,0.227036838
56,8.77E-17,8.21E-17,1.05E-16,1.11E-16,8.78E-17,0.10417806,0.114654082,0.115782682,0.12780818,0.094926095,0.711721771,0.680821831,0.611347754,0.654094611,0.76532016,7.059482746,8.862130063,8.928185665,8.238795631,6.835272268,2.892472245,2.842016149,2.502161877,2.791698484,2.758120628,1.45E-08,1.39E-08,1.24E-08,1.23E-08,1.53E-08,9.451439754,8.820679533,9.140822167,8.75231916,9.22101107,0.6396164,0.003404037,3.467195698,0.327482974
57,4.15E-16,4.45E-16,4.16E-16,4.84E-16,4.76E-16,0.124092505,0.118811769,0.142476886,0.130586012,0.116252842,0.889736757,0.853832803,0.921462916,0.811671313,0.904522843,7.483782678,8.453854606,8.333619196,7.216704466,8.736486165,2.559183646,2.709613814,2.789718641,3.002079502,2.534671437,2.29E-08,2.13E-08,2.38E-08,2.07E-08,2.30E-08,9.548311626,8.208638182,8.706880374,9.147684589,8.953748315,0.841604122,0.006010645,4.52790369,0.469688792
58,1.91E-15,1.79E-15,2.20E-15,1.89E-15,2.31E-15,0.152915876,0.179360579,0.138552778,0.152454589,0.142725412,1.272574704,0.938059936,0.973426296,1.051831134,1.141418251,6.955923447,8.377159062,7.465739871,8.122978689,7.01007474,2.357824801,2.679085549,2.700404872,3.137135984,3.310901584,3.76E-08,4.33E-08,3.20E-08,3.48E-08,4.30E-08,9.195707078,7.456960577,8.892915592,10.35848656,8.777873621,1.099098868,0.01061039,5.60036835,0.668278272
59,7.58E-15,6.69E-15,7.06E-15,7.37E-15,8.23E-15,0.168312802,0.148656077,0.178276336,0.165070195,0.17316994,1.276405501,1.158325026,1.666462924,1.352259965,1.274365482,6.736699995,6.773903243,8.972144516,6.756074573,6.801110017,2.772420262,2.312828887,2.799907419,2.734405273,2.798169165,6.95E-08,6.88E-08,6.90E-08,5.20E-08,6.68E-08,9.491208965,8.090253425,9.502620726,7.780623294,9.842639889,1.421823811,0.0187213,6.575237074,0.940369764
60,3.24E-14,3.24E-14,3.11E-14,2.90E-14,3.18E-14,0.218606466,0.165360962,0.167245982,0.201357633,0.204817689,1.718870161,2.123344852,1.603840983,1.964011373,2.017022295,7.786505533,8.32723047,6.970294841,7.468921328,7.135374908,2.392611353,2.852067478,2.40530037,2.759481634,3.101219304,1.11E-07,1.13E-07,1.06E-07,1.08E-07,9.25E-08,8.04701071,9.665957053,8.542264415,11.01563609,7.919307027,1.81779887,0.033004896,7.379307449,1.303588686
61,1.13E-13,8.98E-14,1.08E-13,9.28E-14,8.85E-14,0.22635241,0.210231552,0.246826621,0.198705756,0.233993419,2.378331745,1.831839459,2.535400919,2.426475745,2.224869588,8.352161857,8.488980874,6.876080558,7.065915785,6.054638097,2.683782626,2.307912004,2.78231815,3.202509179,3.268623657,1.67E-07,1.59E-07,1.65E-07,1.61E-07,1.72E-07,8.847031767,9.078822606,10.21394282,10.31129778,7.190107153,2.291175258,0.058100978,7.990999231,1.771965418
