test1,test2,test3,test4,test5,test6,test7,test8,test9,test10
4.27E-11,0.002026584,0.001988024,0.001892177,0.001674916,8.87E-05,7.28E-05,0.000100203,7.447120799,6.797536309
8.68E-11,0.00225243,0.002323069,0.002416628,0.002056122,0.000128171,0.000130025,0.000113751,9.705862709,5.539335135
1.76E-10,0.002597349,0.002286879,0.002449983,0.002315408,0.00014532,0.00017017,0.000163382,7.020385536,7.354890056
3.59E-10,0.002622932,0.002804973,0.002989541,0.002638346,0.000205665,0.000234436,0.000177001,8.302489658,8.791004593
7.29E-10,0.002888609,0.003444902,0.003703792,0.003722918,0.000263852,0.000291118,0.000346874,6.986513416,7.701775256
1.48E-09,0.003866764,0.003866918,0.003943337,0.003280096,0.000370138,0.000422257,0.00041404,8.027717613,7.487143732
3.01E-09,0.004640668,0.004206475,0.005422712,0.003795093,0.000570009,0.000560436,0.000558857,7.517452479,8.064859732
6.12E-09,0.005284303,0.004874108,0.004928095,0.004296657,0.000756261,0.00085127,0.000867078,5.21315281,7.230263843
1.24E-08,0.005340429,0.006602439,0.005798875,0.005433874,0.001042584,0.00096487,0.000982088,7.856748102,8.877856657
2.53E-08,0.006268789,0.00619756,0.005954175,0.007353913,0.001271241,0.001473229,0.001488074,7.952034291,8.09465766
5.14E-08,0.007362173,0.008524213,0.007118839,0.007176958,0.001565346,0.001702409,0.001521412,8.065427572,7.517065913
1.05E-07,0.007938935,0.007281923,0.008292011,0.008358742,0.002243736,0.002073967,0.002397447,7.459001911,7.792286759
2.13E-07,0.010499285,0.008403425,0.008882871,0.0105019,0.003274886,0.00229191,0.002753631,8.063176362,7.78020966
4.32E-07,0.012991982,0.0121773,0.010726166,0.010422078,0.003894708,0.004295731,0.004221783,7.04633087,8.453537265
8.79E-07,0.014132755,0.012809324,0.01124667,0.012133483,0.00652247,0.006581656,0.006702744,6.839133531,6.987586238
1.79E-06,0.012166515,0.014469135,0.015263179,0.014894693,0.0063799,0.008016438,0.008351995,7.554074457,7.05846129
3.63E-06,0.021377922,0.017541643,0.014228161,0.017819943,0.01199201,0.007896733,0.009724002,8.166265576,7.192773362
7.38E-06,0.016513982,0.020648426,0.01563248,0.021641126,0.014467419,0.017321246,0.015214293,8.212315732,6.268444342
1.50E-05,0.026596872,0.023882559,0.022469107,0.023548268,0.017236727,0.019369641,0.021663432,7.781525231,6.507431566
3.05E-05,0.02181046,0.022178502,0.025150189,0.022595406,0.024865501,0.025101187,0.027107209,6.569135506,7.564858119
6.20E-05,0.027989742,0.029883769,0.031221724,0.026235045,0.028441049,0.033403857,0.039809559,7.757581318,7.885796852
0.000126077,0.029722269,0.026198537,0.032265944,0.034174144,0.048057404,0.052395908,0.050385454,7.827620257,7.705943593
0.000256299,0.040948172,0.030820449,0.038082118,0.042614408,0.052376661,0.053430112,0.075431443,7.80075786,8.452852152
0.000521016,0.051640925,0.038106793,0.044510207,0.048412678,0.076653525,0.08617702,0.082019268,8.07053722,8.079626231
0.001059103,0.051219859,0.048266778,0.044019081,0.043712247,0.104620756,0.101583678,0.108899446,7.251566711,6.856684649
0.002152748,0.049539969,0.059938866,0.061410089,0.050009833,0.168567575,0.136478408,0.153935124,9.086010506,6.906548547
0.004375043,0.05553541,0.062160047,0.064465911,0.069267177,0.226180275,0.153478008,0.223730392,7.231697319,7.558151686
0.008888694,0.078889971,0.08933709,0.069361804,0.076581,0.258711223,0.244968878,0.245861184,8.649049943,9.021659275
0.018047725,0.070533617,0.094839101,0.099628991,0.076265086,0.32953681,0.369031256,0.418268331,7.852231044,8.823441052
0.036597994,0.086230751,0.112024239,0.103518272,0.090871983,0.540307351,0.537984239,0.463810688,7.646732281,7.288566133
0.07402543,0.129817406,0.109416118,0.120177004,0.101445622,0.562779988,0.693303353,0.626250446,8.445022879,6.862648985
0.148960566,0.110305874,0.11295432,0.112789318,0.139017332,0.913494367,0.738892922,0.793433298,7.668902722,7.051843565
0.296704786,0.158480858,0.130501593,0.158108082,0.150366874,1.161634683,0.992595927,1.308489985,7.145517624,7.654518271
0.579375353,0.149524875,0.169605654,0.141192571,0.154880438,1.301481435,1.294552182,1.236577899,5.814404551,7.835721231
1.090358864,0.226476947,0.173354829,0.215619157,0.198508683,1.885224772,1.788695657,1.769524576,6.119517482,6.626449447
1.925880143,0.180560734,0.228801724,0.246560383,0.187043587,2.218333202,2.177136538,2.320579079,7.192337914,9.022798198
3.090990729,0.266676028,0.255803276,0.25247217,0.237880221,2.93596621,2.753265263,2.675087234,7.675085419,6.435720904
4.400554649,0.282042355,0.293237167,0.279740034,0.238455493,3.256040516,3.146566818,3.914868123,7.854175781,6.561170504
5.559106188,0.287991399,0.294264349,0.357407053,0.322172702,3.511185731,4.062590115,3.461631867,8.791372601,7.165847943
6.386149841,0.395250597,0.332084332,0.427423104,0.335764184,5.088231441,4.232644061,4.802240484,6.808584051,6.755315662
6.890404064,0.401118098,0.454981283,0.406112597,0.403324452,5.735871794,5.614498253,4.933675971,7.110593035,7.336997589
7.168850292,0.536796558,0.436645163,0.424877718,0.549219118,6.278748871,6.064728581,6.455743977,6.80554523,6.804494869
7.314244639,0.581183182,0.617699058,0.524698228,0.517367223,7.49154787,7.704973484,6.19725944,7.749609216,7.153674037
7.387950732,0.626257117,0.65050325,0.517323549,0.592327662,6.34150099,8.194897799,7.705694292,8.582205064,7.686300093
7.424754936,0.696867769,0.606221207,0.792973786,0.734869206,7.673607491,8.457974743,8.155621647,7.417888294,7.097477394
7.442993997,0.746449911,0.785567044,0.79282631,0.841198625,7.461661732,7.623807732,9.182296746,7.373995633,7.779523606
7.451998807,0.89733534,0.954952759,0.919832099,0.85008196,8.195699765,6.643191903,8.872913089,9.101103196,7.430233106
7.456436319,0.862386512,0.979906684,0.844932819,1.073674038,7.927890641,9.461960688,9.346650233,7.956698451,6.612322988
7.458621094,0.992613276,1.307244642,1.131602553,0.980690325,8.765490839,8.783360502,7.133688299,7.385661196,8.399074086
7.459696266,1.394481862,1.257989698,1.210704491,1.022642437,7.664877234,7.936982106,9.376701326,8.183934704,8.198874122
7.460225262,1.202855878,1.357254424,1.09783085,1.313539294,6.639815933,9.522677455,9.209944295,6.735923623,7.595894939
7.460485506,1.328226139,1.652848106,1.464899574,1.601648346,9.228556517,9.497834779,8.15619631,9.675030187,7.490531835
7.460613528,1.592664277,1.676043801,1.543504509,1.648884369,8.080455642,8.610711377,8.951402886,9.025970545,7.167290624
7.460676504,1.775705661,1.848239588,1.779476868,2.026379119,9.096283547,7.317184264,10.07103898,7.378244684,7.808688937
7.460707483,1.648842202,2.100199912,1.583328165,2.05837958,10.0474258,7.923904253,9.578758395,8.207735598,7.846859289
7.460722721,2.228627953,2.117827338,2.172285707,1.744082998,7.684703255,7.761582384,8.440138064,8.513630882,8.928734282
7.460730217,2.858262552,2.168327272,2.232998011,2.932524893,10.64178076,8.036217037,10.03569932,7.780877322,8.081447516
7.460733905,2.162652191,2.569312271,2.583550327,2.84858358,10.63034743,10.93493608,9.41720598,7.176844486,8.35095988
7.460735719,2.498828239,2.812063695,2.470730671,2.628043554,9.323881528,9.49451526,9.126089972,6.719358262,7.7432646
7.460736611,2.877741188,2.828474496,3.641414123,3.316779898,8.510406681,9.030284482,10.59032348,7.579864401,8.874853139
7.46073705,2.690448409,3.79190386,3.158339665,3.169036148,9.120062422,7.902853548,10.26967114,7.334726314,6.814752799
7.460737266,3.416481384,4.01450356,3.626132062,3.418545548,9.189183908,8.512066566,8.605428479,7.810137133,8.039006192
7.460737372,3.849311892,3.608675941,3.696115305,3.602774074,8.629849595,7.934946964,8.646607223,7.25215939,7.893638632
7.460737424,3.092415275,3.497379921,3.374333564,4.658828953,9.984199789,6.463127227,9.466931242,8.435457649,8.708414591
7.46073745,4.091650662,3.554991555,4.342278151,3.790754709,10.24815872,9.659700891,8.65896609,6.483139585,7.577580363
7.460737462,4.514770689,3.514115379,4.365571483,4.611990764,9.227547276,9.131632181,9.649720719,5.373965161,8.532813395
7.460737469,3.932601078,4.196666935,5.026431975,4.764126346,8.575224449,10.86900636,8.249566453,5.818872855,7.123266689
7.460737472,5.001052171,4.310840413,4.288921843,4.456581709,9.692833483,8.677422692,7.430972515,7.375241126,6.56043089
7.460737473,3.666319436,4.914341784,4.807440619,4.95964698,9.704201169,9.74516836,8.881336888,7.897078589,7.144165249
7.460737474,5.852323946,4.038378714,3.645538473,5.12814451,8.906928222,8.767462062,11.41717765,7.060329807,7.891696634
7.460737474,4.701534935,4.543621152,6.073997442,5.697543237,8.548035549,10.00882402,10.26823619,7.506171118,7.474621905
7.460737474,4.97382425,4.43520175,5.627520696,5.599409839,8.812008528,7.709152251,10.15425307,8.248442334,7.626822044
7.460737475,4.697967941,6.270058379,6.033237351,5.622946521,10.37764744,9.347956514,11.2981101,7.069248322,7.588722507
7.460737475,6.183789006,5.269269801,5.559764259,4.791578536,8.300168737,9.599998611,8.626990429,7.45622493,8.544666984
